Name | Total rule apps | Nodes | Branches | Overall time | Automode time | Closed | Time per step | Memory
examples/./performance-test/Inc2(Inc2__foo_01()).JML_operation_contract.0.key.auto.key | 344 | 165 | 7 | 4739 | 791 | 1 | 4.7939396 | 19430
examples/./performance-test/Inc2(Inc2__foo_02()).JML_operation_contract.0.key.auto.key | 622 | 291 | 13 | 5131 | 1076 | 1 | 3.6975944 | 21246
examples/./performance-test/Inc2(Inc2__foo_03()).JML_operation_contract.0.key.auto.key | 902 | 419 | 19 | 5277 | 1447 | 1 | 3.4534607 | 23060
examples/./performance-test/Inc2(Inc2__foo_04()).JML_operation_contract.0.key.auto.key | 1182 | 547 | 25 | 5703 | 1724 | 1 | 3.1517367 | 24885
examples/./performance-test/Inc2(Inc2__foo_05()).JML_operation_contract.0.key.auto.key | 1462 | 675 | 31 | 6029 | 2030 | 1 | 3.0074074 | 26700
examples/./performance-test/Inc2(Inc2__foo_06()).JML_operation_contract.0.key.auto.key | 1742 | 803 | 37 | 6366 | 2277 | 1 | 2.8356164 | 28525
examples/./performance-test/Inc2(Inc2__foo_07()).JML_operation_contract.0.key.auto.key | 2022 | 931 | 43 | 6512 | 2599 | 1 | 2.791622 | 30357
examples/./performance-test/Inc2(Inc2__foo_08()).JML_operation_contract.0.key.auto.key | 2302 | 1059 | 49 | 6677 | 2669 | 1 | 2.520302 | 32185
examples/./performance-test/Inc2(Inc2__foo_09()).JML_operation_contract.0.key.auto.key | 2582 | 1187 | 55 | 7019 | 2888 | 1 | 2.4330244 | 33998
examples/./performance-test/Inc2(Inc2__foo_10()).JML_operation_contract.0.key.auto.key | 2862 | 1315 | 61 | 7195 | 3376 | 1 | 2.5673003 | 35830
examples/./performance-test/Inc2(Inc2__foo_20()).JML_operation_contract.0.key.auto.key | 5662 | 2595 | 121 | 8670 | 4615 | 1 | 1.7784201 | 52758
examples/./performance-test/Inc2(Inc2__foo_40()).JML_operation_contract.0.key.auto.key | 11262 | 5155 | 241 | 12730 | 8780 | 1 | 1.7032008 | 56628
examples/./performance-test/Inc(Inc__foo_01()).JML_operation_contract.0.key.auto.key | 217 | 107 | 4 | 4580 | 560 | 1 | 5.233645 | 18778
examples/./performance-test/Inc(Inc__foo_02()).JML_operation_contract.0.key.auto.key | 354 | 168 | 7 | 4681 | 740 | 1 | 4.404762 | 19523
examples/./performance-test/Inc(Inc__foo_03()).JML_operation_contract.0.key.auto.key | 493 | 231 | 10 | 5116 | 958 | 1 | 4.1471863 | 20265
examples/./performance-test/Inc(Inc__foo_04()).JML_operation_contract.0.key.auto.key | 632 | 294 | 13 | 5133 | 1075 | 1 | 3.6564627 | 21025
examples/./performance-test/Inc(Inc__foo_05()).JML_operation_contract.0.key.auto.key | 771 | 357 | 16 | 5274 | 1265 | 1 | 3.5434175 | 21765
examples/./performance-test/Inc(Inc__foo_06()).JML_operation_contract.0.key.auto.key | 910 | 420 | 19 | 5229 | 1410 | 1 | 3.357143 | 22507
examples/./performance-test/Inc(Inc__foo_07()).JML_operation_contract.0.key.auto.key | 1049 | 483 | 22 | 5538 | 1489 | 1 | 3.0828156 | 23256
examples/./performance-test/Inc(Inc__foo_08()).JML_operation_contract.0.key.auto.key | 1188 | 546 | 25 | 5642 | 1604 | 1 | 2.937729 | 24014
examples/./performance-test/Inc(Inc__foo_09()).JML_operation_contract.0.key.auto.key | 1327 | 609 | 28 | 5874 | 1844 | 1 | 3.0279145 | 24751
examples/./performance-test/Inc(Inc__foo_10()).JML_operation_contract.0.key.auto.key | 1466 | 672 | 31 | 5870 | 1789 | 1 | 2.6622024 | 25511
examples/./performance-test/Inc(Inc__foo_20()).JML_operation_contract.0.key.auto.key | 2856 | 1302 | 61 | 6522 | 2650 | 1 | 2.0353303 | 33184
examples/./performance-test/Modelfield(Modelfield__foo_01()).JML_operation_contract.0.key.auto.key | 479 | 202 | 10 | 4972 | 895 | 1 | 4.430693 | 19804
examples/./performance-test/Modelfield(Modelfield__foo_02()).JML_operation_contract.0.key.auto.key | 965 | 427 | 20 | 5690 | 1692 | 1 | 3.9625292 | 21937
examples/./performance-test/Modelfield(Modelfield__foo_03()).JML_operation_contract.0.key.auto.key | 1626 | 785 | 32 | 6450 | 2381 | 1 | 3.033121 | 25051
examples/./performance-test/Modelfield(Modelfield__foo_04()).JML_operation_contract.0.key.auto.key | 2680 | 1442 | 48 | 7662 | 3655 | 1 | 2.5346742 | 30181
examples/./performance-test/Modelfield(Modelfield__foo_05()).JML_operation_contract.0.key.auto.key | 4124 | 2327 | 72 | 9216 | 5136 | 1 | 2.2071335 | 31266
examples/./performance-test/Modelfield(Modelfield__foo_06()).JML_operation_contract.0.key.auto.key | 5929 | 3639 | 82 | 10287 | 6491 | 1 | 1.7837318 | 33859
examples/./performance-test/Modelfield(Modelfield__foo_07()).JML_operation_contract.0.key.auto.key | 10780 | 7195 | 120 | 13727 | 9345 | 1 | 1.2988186 | 39671
examples/./performance-test/Modelfield(Modelfield__foo_08()).JML_operation_contract.0.key.auto.key | 21235 | 15012 | 192 | 19384 | 15522 | 1 | 1.0339729 | 52177
examples/./performance-test/Modelfield(Modelfield__foo_09()).JML_operation_contract.0.key.auto.key | 8861 | 5188 | 120 | 12125 | 8227 | 1 | 1.5857749 | 39202
examples/./performance-test/Modelfield(Modelfield__foo_10()).JML_operation_contract.0.key.auto.key | 7648 | 4024 | 89 | 11329 | 7439 | 1 | 1.8486581 | 37114
examples/./performance-test/Modelfield(Modelfield__foo_20()).JML_operation_contract.0.key.auto.key | 45037 | 24768 | 167 | 37708 | 33631 | 1 | 1.3578408 | 94403
--- SUM --- | 1144399 | 700277 | 11532 | 2251838 | 1611192 | 157 | 2.30079240072143 | 36601.3121019108

# git commit 2d28ba0c460e0fe89e72519647314d6771590b0d

